
 Version: 2.1
 Chunks: 1
 Start: 2026-05-22 08:32:51 (UTC)
 Duration: 162 s

 Event Type                              Count  Size (bytes)
=============================================================
 jdk.GCPhaseParallel                     14565        318136
 jdk.NativeMethodSample                   5010         54537
 jdk.ObjectAllocationSample               2407         33886
 jdk.PromoteObjectInNewPLAB               1887         30149
 jdk.ModuleExport                         1387         13696
 jdk.ThreadPark                            883         32764
 jdk.ActiveSetting                         718         20361
 jdk.Checkpoint                            543       2410779
 jdk.BooleanFlag                           495         14568
 jdk.SystemProcess                         442         27630
 jdk.Deoptimization                        378          8749
 jdk.TenuringDistribution                  315          3005
 jdk.ExecutionSample                       221          2253
 jdk.JavaErrorThrow                        180          9902
 jdk.LongFlag                              161          5056
 jdk.ModuleRequire                         159          1431
 jdk.ResidentSetSize                       133          2240
 jdk.ExceptionStatistics                   133          1713
 jdk.CPULoad                               133          2511
 jdk.JavaThreadStatistics                  133          1447
 jdk.ClassLoadingStatistics                133          1314
 jdk.CompilerStatistics                    133          3840
 jdk.UnsignedLongFlag                      132          4353
 jdk.NativeLibrary                         118          7347
 jdk.PromoteObjectOutsidePLAB              117          1695
 jdk.ExecuteVMOperation                    114          1609
 jdk.MetaspaceChunkFreeListSummary          96          1636
 jdk.GCReferenceStatistics                  96           906
 jdk.GCPhasePauseLevel1                     92          3517
 jdk.Compilation                            89          2268
 jdk.ThreadCPULoad                          81          1276
 jdk.InitialEnvironmentVariable             70          4492
 jdk.SafepointBegin                         61           747
 jdk.ThreadAllocationStatistics             49           498
 jdk.GCHeapSummary                          48          1791
 jdk.MetaspaceSummary                       48          2394
 jdk.G1HeapSummary                          48          1085
 jdk.InitialSecurityProperty                48          2536
 jdk.OldObjectSample                        43          1326
 jdk.GCPhasePauseLevel2                     42          1300
 jdk.ThreadStart                            38           408
 jdk.NetworkUtilization                     35           447
 jdk.G1MMU                                  27           325
 jdk.GCCPUTime                              27           418
 jdk.GCPhasePause                           27           592
 jdk.DirectBufferStatistics                 26           595
 jdk.StringFlag                             26           814
 jdk.IntFlag                                25           910
 jdk.ThreadSleep                            24           451
 jdk.GarbageCollection                      24           457
 jdk.YoungGarbageCollection                 21           232
 jdk.G1GarbageCollection                    21           232
 jdk.EvacuationInformation                  21           535
 jdk.G1EvacuationYoungStatistics            21           768
 jdk.G1EvacuationOldStatistics              21           672
 jdk.G1BasicIHOP                            21           780
 jdk.G1AdaptiveIHOP                         21           795
 jdk.GCPhaseConcurrent                      18           783
 jdk.ThreadEnd                              16           132
 jdk.SocketRead                             16           678
 jdk.CompilationFailure                     16           638
 jdk.InitialSystemProperty                  15          2297
 jdk.DoubleFlag                             15           590
 jdk.ThreadContextSwitchRate                13           142
 jdk.SymbolTableStatistics                  13           493
 jdk.StringTableStatistics                  13           493
 jdk.UnsignedIntFlag                        13           426
 jdk.GCPhaseConcurrentLevel1                12           424
 jdk.ClassLoaderStatistics                  10           252
 jdk.FileWrite                               7           116
 jdk.GCHeapMemoryPoolUsage                   6           217
 jdk.MetaspaceGCThreshold                    6            90
 jdk.CodeCacheStatistics                     6           177
 jdk.MetaspaceAllocationFailure              3            42
 jdk.OldGarbageCollection                    3            30
 jdk.JavaMonitorEnter                        2            41
 jdk.JavaMonitorWait                         2            46
 jdk.GCHeapMemoryUsage                       2            40
 jdk.PhysicalMemory                          2            33
 jdk.ThreadDump                              2         77194
 jdk.GCConfiguration                         2            49
 jdk.FinalizerStatistics                     2            32
 jdk.Metadata                                1        103109
